latitude,longitude,X,Y
40.72861,-74.0049,-8238187.784207133,4944507.982169799
40.72752,-73.98432,-8235896.829086605,4944348.483535554
40.81219,-73.94499,-8231518.633513707,4956746.013387395
40.72821,-73.98701,-8236196.278516839,4944449.450255114
40.7672,-73.98508,-8235981.431899609,4950156.516764106
40.73012,-73.99053,-8236588.123124433,4944728.943343253
40.7403,-73.98498,-8235970.299950529,4946218.733995963
40.80931,-73.94343,-8231344.975108069,4956324.057038746
40.8251,-73.94287,-8231282.636193225,4958637.718169325
40.76193,-73.9501,-8232087.476111661,4949384.936194892
40.72052,-73.98589,-8236071.600687151,4943324.243113833
40.71756,-73.99503,-8237089.060833002,4942891.168388792
40.7589,-73.96991,-8234292.715224275,4948941.341881809
40.72003,-74.00262,-8237933.975768122,4943252.550349417
40.73194,-73.99474,-8237056.778180671,4944995.274122051
40.79163,-73.94573,-8231601.009936893,4953734.118177232
40.8118,-73.94434,-8231446.275844691,4956688.872384777
40.81583,-73.94707,-8231750.178054556,4957279.345733927
40.72654,-73.98049,-8235470.475436868,4944205.083341241
40.80021,-73.96071,-8233268.575908978,4954990.913452315
40.80942,-73.93936,-8230891.90478054,4956340.173088079
40.71961,-73.9954,-8237130.249044596,4943191.099831767
40.74358,-74.00027,-8237672.374964759,4946698.79406769
40.80335,-73.9575,-8232911.240343529,4955450.900425566
40.71445,-73.9908,-8236618.179386945,4942436.16821347
40.75749,-73.96897,-8234188.074902929,4948734.923752425
40.7268,-73.99079,-8236617.066192039,4944243.128083359
40.72477,-73.98161,-8235595.153266557,4943946.090423451
40.74238,-73.99567,-8237160.30530711,4946523.159566799
40.72185,-73.98246,-8235689.774833731,4943518.840440974
40.86648,-73.9263,-8229438.07223078,4964703.639858619
40.72807,-73.98594,-8236077.166661691,4944428.964168733
40.71702,-73.99811,-8237431.924864644,4942812.16360624
40.72321,-73.98157,-8235590.7004869245,4943717.831233486
40.77956,-73.98098,-8235525.021987356,4951966.3859858
40.72956,-73.98158,-8235591.813681831,4944646.996888142
40.82888,-73.94307,-8231304.900091384,4959191.672523898
40.72681,-73.98534,-8236010.374967215,4944244.591345664
40.71904,-73.99392,-8236965.496198222,4943107.70332561
40.81322,-73.95306,-8232416.981804407,4956896.925867793
40.79603,-73.94903,-8231968.3642565105,4954378.608128123
40.80393,-73.95838,-8233009.2014954295,4955535.868571633
40.80082,-73.9652,-8233768.400422637,4955080.272262787
40.82976,-73.94867,-8231928.289239827,4959320.640008654
40.78971,-73.9729,-8234625.560501746,4953452.899686237
40.71943,-73.99627,-8237227.097001585,4943164.764015239
40.78,-73.98249,-8235693.1144184545,4952030.821241973
40.86713,-73.92811,-8229639.560509115,4964798.954248843
40.73198,-73.98881,-8236396.653600268,4945001.127628204
40.72542,-73.97986,-8235400.344157667,4944041.20001052
40.83494,-73.93869,-8230817.320721707,4960079.824480519
40.71659,-73.98945,-8236467.898074375,4942749.252852365
40.72966,-74.00243,-8237912.825064872,4944661.630132729
40.77728,-73.97818,-8235213.327413134,4951632.501092314
40.80892,-73.93985,-8230946.45133103,4956266.918535307
40.80276,-73.9567,-8232822.184750895,4955364.468079161
40.71876,-73.98394,-8235854.5276801055,4943066.736884398
40.76248,-73.9913,-8236673.839132342,4949465.458799888
40.72329,-73.98486,-8235956.941611634,4943729.53670182
40.72399,-73.98374,-8235832.263781945,4943831.960154543
40.72451,-73.98094,-8235520.569207725,4943908.046850718
40.72843,-73.98895,-8236412.238328978,4944481.642764316
